Nov 08 00:06:51.457  Config           0x0015  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x15 - RB Meta 000X - Central - Codec: mSBC - PID/VID 0x0102/0x01AB - Ver 0x1436  07 00 15 00 C0 E0 21 49 59 98 02 00 AB 01 02 01 36 14 01 00 00 52 42 20 4D 65 74 61 20 30 30 30 58  
Nov 08 00:06:51.457  Config           0x0042  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x42 - RB Meta 000X - 8D7915E4-BA2D-3FDF-E564-A647BB6CEBC2  01 42 00 0C 52 42 20 4D 65 74 61 20 30 30 30 58 C0 E0 21 49 59 98 8D 79 15 E4 BA 2D 3F DF E5 64 A6 47 BB 6C EB C2  
Nov 08 00:06:53.765  Config           0x0015  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x15 - RB Meta 000X - Central - Codec: mSBC - PID/VID 0x0102/0x01AB - Ver 0x1436  07 00 15 00 C0 E0 21 49 59 98 02 00 AB 01 02 01 36 14 01 00 00 52 42 20 4D 65 74 61 20 30 30 30 58  
Nov 08 00:06:53.979  Config           0x0015  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x15 - RB Meta 000X - Central - Codec: mSBC - PID/VID 0x0102/0x01AB - Ver 0x1436  07 00 15 00 C0 E0 21 49 59 98 02 00 AB 01 02 01 36 14 01 00 00 52 42 20 4D 65 74 61 20 30 30 30 58  
Nov 08 00:06:53.979  Config           0x0042  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x42 - RB Meta 000X - 8D7915E4-BA2D-3FDF-E564-A647BB6CEBC2  01 42 00 0C 52 42 20 4D 65 74 61 20 30 30 30 58 C0 E0 21 49 59 98 8D 79 15 E4 BA 2D 3F DF E5 64 A6 47 BB 6C EB C2  
Nov 08 00:06:57.918  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x008B (139) [ 89 00 86 CA 8B E0 2A ED 16 BB 07 55 CA 5E 15 E3 ... ]  42 20 8F 00 8B 00 48 00 89 00 86 CA 8B E0 2A ED 16 BB 07 55 CA 5E 15 E3 CD 17 EC 35 E9 1F 70 62 A4 04 30 18 E5 61 AF 46 F4 E2 52 EC 34 64 1D 90 20 78 70 3B 12 BE B0 E9 21 78 2E A4 ED 7D 08 DB FF D8 07 31 05 A1 DB C8 82 0F EF 6F 11 8B 8A 7E 03 16 9B F1 82 70 58 4A 6E DF BA 80 E5 31 93 DD 8A 07 FE 64 45 29 E7 54 0B 1F 54 D8 64 68 F0 45 D5 95 5B 90 E9 8C 07 BD E6 33 55 D9 EF F6 3B 1F 25 38 A9 04 48 9A F7 3A 13 F4 B0 E9 A5 A2 01 AF 50 2E 88  
Nov 08 00:06:57.920  ATT Receive      0x0042  RB Meta 000X       Handle Value Notification - Handle:0x002A - Value: 00  42 20 08 00 04 00 04 00 1B 2A 00 00  
Nov 08 00:06:57.976  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x001B (27) [ 19 00 38 5E 83 CC 74 0D 8B 22 00 1D BE 75 90 50 ... ]  42 20 1F 00 1B 00 48 00 19 00 38 5E 83 CC 74 0D 8B 22 00 1D BE 75 90 50 DC 15 99 49 EE CF 3A E7 E2 E8 26  
Nov 08 00:06:58.008  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x015B (347) [ 59 01 60 97 82 7B 62 70 7F 00 14 FF F9 BA 77 2D ... ] - Incomplete L2CAP  42 20 FB 00 5B 01 48 00 59 01 60 97 82 7B 62 70 7F 00 14 FF F9 BA 77 2D 74 D8 D9 38 F7 93 A5 D1 B6 AF 51 6F 82 C1 1D EA CF 0D 83 11 7C 5F 2E 99 51 EF 23 40 D7 9D EF 69 C0 94 23 B8 5B D1 88 B7 28 83 3A 07 A2 21 BA 09 52 1D EF 5F 2F E7 3A D8 4F 45 FA D6 BD F6 5A 68 F6 E9 2B E5 8E DD F1 0A FC ED 8B 1E 11 99 DE 6D 33 F7 CB E9 95 70 63 4D CF C5 FB 8F F5 2C FB 8C E1 5B 2C 87 83 A1 31 CB 99 C0 42 E9 47 AB 27 87 B3 E2 2B 25 F2 C0 C3 3F 64 8A E4 10 76 66 82 34 8F D2 A8 A2 48 80 6C FB F8 6B 9E 13 8C DB BD B6 CA C7 81 81 2D B2 DB B4 80 7C 24 4F 74 93 19 2E 46 FF 2D 6D E1 CF 52 1E 9D 81 47 18 8A 40 BA 25 8F 48 AD 80 D7 AB 0B 3B 03 37 68 96 BB 46 92 1F 65 70 89 FF 0F 1E 4E B7 C8 D6 A2 CA 50 B0 FB 88 05 4C 59 B0 DF B9 0A E4 19 54 4C B0 0C 88 E6 27 57 AB F2 49 24 01 1A 7F 49 8D A9 A2 C2 43 6B 98 8E 6C A9 71 7B 1F 1C A9 CF F1 FB CF 8F D4 41 C0 94 E6 67 C4 F9 49 F6 56 C6 18 17 7E CB 2E 94 7B 40 7D 97 0C A3 DB D1 E6 F4 34 07 20 6F 61 F5 76 1D F5 51 B3 C8 E4 B4 89 82 C1 6D DF 8F ED D9 DA 2D 7C 0B 2B 69 AF EE 8F B0 33 E3 FE 1B 6E 42 20 02 B7 97 24 43 F9 3B 2C 3C F2 2B  
Nov 08 00:06:58.039  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 87 B7 A0 B6 72 52 F7 32 03 D8 68 BC DB 81 ... ]  42 20 4F 00 4B 00 48 00 49 00 87 B7 A0 B6 72 52 F7 32 03 D8 68 BC DB 81 CD A5 7B E4 B0 BB C7 05 2D 92 03 F7 C8 E0 95 65 47 33 CC 65 CC 11 CD 7D 08 9A E7 B1 65 CD 07 33 F1 90 F7 9B 6C 46 3C 70 01 5B 94 06 C9 37 C8 4C BE 22 26 05 73 E2 A5 01 85 BA CA  
Nov 08 00:06:58.040  L2CAP Send       0x0042  RB Meta 000X       Channel ID: 0x0043  Length: 0x001B (27) [ 19 00 F2 71 C8 AF C7 A1 69 E3 00 74 37 9F 40 A9 ... ]  42 00 1F 00 1B 00 43 00 19 00 F2 71 C8 AF C7 A1 69 E3 00 74 37 9F 40 A9 E6 58 36 1F F2 E8 57 44 84 05 86  
Nov 08 00:06:58.041  L2CAP Send       0x0042  RB Meta 000X       Channel ID: 0x0043  Length: 0x0034 (52) [ 32 00 00 F3 A1 90 51 A8 E8 D0 00 5A B3 52 6B 55 ... ]  42 00 38 00 34 00 43 00 32 00 00 F3 A1 90 51 A8 E8 D0 00 5A B3 52 6B 55 4C 8E 7F 05 29 31 6E EB 2F 3D 98 A0 A9 3D 14 0E B3 DF B2 00 08 E2 A6 09 00 A9 A4 24 FA EB 96 C5 DD E7 8A E4  
Nov 08 00:06:58.047  L2CAP Send       0x0042  RB Meta 000X       Channel ID: 0x0043  Length: 0x006B (107) [ 69 00 76 CB 29 4E 1D DB 6C 51 05 85 35 1C 59 C1 ... ]  42 00 6F 00 6B 00 43 00 69 00 76 CB 29 4E 1D DB 6C 51 05 85 35 1C 59 C1 37 A1 C0 9D 39 E7 26 44 36 79 D6 96 E8 72 2B 23 A0 62 E4 D9 18 D4 C5 90 A4 00 CD AE 71 A8 52 A1 70 02 D0 7C 33 7C 26 87 63 34 53 D3 DB DE 0A F6 82 85 59 E0 52 28 D9 3B 88 8F B5 B7 F3 D6 62 A4 72 EB 8C 95 F8 E3 0C 45 F6 ED 83 04 10 29 19 0E 99 A1 44 01 92 4E 8B C6 D0 0E 22  
Nov 08 00:06:58.068  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 2A C7 C3 42 37 14 DE 56 03 F2 44 4D 0B 9F ... ]  42 20 4F 00 4B 00 48 00 49 00 2A C7 C3 42 37 14 DE 56 03 F2 44 4D 0B 9F 14 24 53 AC 27 0F 17 CE AF DD 9F C2 06 82 5E 2E 76 E1 89 10 44 B9 20 AF 12 D6 EF 07 7C 8D 46 A2 4B 62 BA 58 2A BD 02 20 B4 3D 89 4D 0A A4 44 EE 13 D0 2A FC 18 6A D4 A5 0A DA CC  
Nov 08 00:06:58.068  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 E3 F9 2F 03 7E 86 DD AC 03 EE 8B 9A 89 A7 ... ]  42 20 4F 00 4B 00 48 00 49 00 E3 F9 2F 03 7E 86 DD AC 03 EE 8B 9A 89 A7 98 F6 4C 1F 8E 40 FF 57 B9 31 94 32 6A E9 E8 52 14 65 BC AA C1 A1 9C 6C 8C 54 B2 7D 0E E0 EF F2 85 28 C7 BD 0D 66 F1 FB 0F E5 03 35 F5 E0 34 DF 57 60 66 F5 BE 48 D4 11 D5 93 52  
