Nov 08 00:14:48.073  Config           0x0015  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x15 - RB Meta 000X - Central - Codec: mSBC - PID/VID 0x0102/0x01AB - Ver 0x1436  07 00 15 00 C0 E0 21 49 59 98 02 00 AB 01 02 01 36 14 01 00 00 52 42 20 4D 65 74 61 20 30 30 30 58  
Nov 08 00:14:48.073  Config           0x0042  RB Meta 000X       Connected: 98:59:49:21:E0:C0 - Handle: 0x42 - RB Meta 000X - 8D7915E4-BA2D-3FDF-E564-A647BB6CEBC2  01 42 00 0C 52 42 20 4D 65 74 61 20 30 30 30 58 C0 E0 21 49 59 98 8D 79 15 E4 BA 2D 3F DF E5 64 A6 47 BB 6C EB C2  
Nov 08 00:14:49.829  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x008B (139) [ 89 00 DA B5 43 FF 22 3F FA 37 07 CD 0F 40 97 B9 ... ]  42 20 8F 00 8B 00 48 00 89 00 DA B5 43 FF 22 3F FA 37 07 CD 0F 40 97 B9 45 A6 DE 7B 01 57 58 E3 A6 48 5E DF AD 42 2B CD A4 E8 65 8A 96 E8 E4 AE F3 4B 2F 93 0F B2 7B C1 03 C5 44 EC 57 87 46 BA 5B B5 F7 18 AE E2 71 2C 39 2D 71 29 76 0F 33 F1 99 AA 8F E3 64 1E CF A3 6D 8F D5 D9 44 4A 4B EB 7E 92 44 90 86 C7 1A 32 94 97 AF AA D4 BA 68 CE 51 C3 3C CB A2 E6 52 6E EF EC 0A 48 CE 2E D2 1F C1 3D D1 2E 95 1E 42 37 0A 12 30 59 2F FB D8 BE 56 F0 50  
Nov 08 00:14:49.858  ATT Receive      0x0042  RB Meta 000X       Handle Value Notification - Handle:0x002A - Value: 00  42 20 08 00 04 00 04 00 1B 2A 00 00  
Nov 08 00:14:49.871  HCI Command      0x0042  RB Meta 000X       Read RSSI - Connection Handle: 0x0042  05 14 02 42 00  
Nov 08 00:14:49.875  HCI Event        0x0042  RB Meta 000X       Command Complete [1405] - Read RSSI - RSSI: -79 dBm  0E 07 01 05 14 00 42 00 B1  
Nov 08 00:14:49.889  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x001B (27) [ 19 00 EF 72 7C 72 27 92 37 6F 00 8A 92 D9 B1 5D ... ]  42 20 1F 00 1B 00 48 00 19 00 EF 72 7C 72 27 92 37 6F 00 8A 92 D9 B1 5D 8F D1 30 CF 96 2A 51 AE 85 52 95  
Nov 08 00:14:49.919  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x009B (155) [ 99 00 3D 91 B8 CB BF C3 EE B3 08 82 3B 60 48 CC ... ]  42 20 9F 00 9B 00 48 00 99 00 3D 91 B8 CB BF C3 EE B3 08 82 3B 60 48 CC 2D 13 EB C7 00 9E 08 FF 65 A0 6A D4 9E CB 38 44 E2 41 F4 C0 BA 91 CC D2 51 B0 F4 0D 3A 0D D7 9B 6B DF 42 2D 2B C2 0C 77 5C 2E 5B 41 90 12 33 46 F7 69 7A 23 AE 49 22 C6 0B 53 1F 43 13 EF 17 E7 AF 68 D0 BD 67 E5 FA 62 41 AC 8E 71 38 8C 53 E9 35 54 57 AC 3A 07 8A 26 D7 46 A3 CC 09 71 E5 4F 50 D5 81 01 7C C6 48 DD B3 5D 64 F0 1F C4 0A 79 B5 A4 3E C6 D7 32 50 70 D3 A5 C2 2A 07 8C 1B 27 49 86 22 FB 2E 33 4B E5 A6 9F 48  
Nov 08 00:14:49.920  L2CAP Send       0x0042  RB Meta 000X       Channel ID: 0x0043  Length: 0x001B (27) [ 19 00 C6 58 1B 9D 93 82 06 8A 00 50 38 DC 05 D0 ... ]  42 00 1F 00 1B 00 43 00 19 00 C6 58 1B 9D 93 82 06 8A 00 50 38 DC 05 D0 95 BA DC B9 43 98 7B F7 81 06 17  
Nov 08 00:14:49.921  L2CAP Send       0x0042  RB Meta 000X       Channel ID: 0x0043  Length: 0x001B (27) [ 19 00 D1 8D 28 2D 88 44 55 8F 00 7C 10 ED 89 25 ... ]  42 00 1F 00 1B 00 43 00 19 00 D1 8D 28 2D 88 44 55 8F 00 7C 10 ED 89 25 1D 48 97 6A E6 7C 9B CE 6F B5 95  
Nov 08 00:14:49.921  L2CAP Send       0x0042  RB Meta 000X       Channel ID: 0x0043  Length: 0x001B (27) [ 19 00 62 8B 7E 67 49 41 2C 4D 00 BD 1C 07 2C C4 ... ]  42 00 1F 00 1B 00 43 00 19 00 62 8B 7E 67 49 41 2C 4D 00 BD 1C 07 2C C4 A6 E8 FB D8 48 F2 50 F4 06 7C D8  
Nov 08 00:14:49.925  L2CAP Send       0x0042  RB Meta 000X       Channel ID: 0x0043  Length: 0x006B (107) [ 69 00 AF 27 D8 95 88 BF E7 75 05 61 3F 48 EB D3 ... ]  42 00 6F 00 6B 00 43 00 69 00 AF 27 D8 95 88 BF E7 75 05 61 3F 48 EB D3 DE BA B6 99 F5 3B 83 AC B1 18 1C 8E 3D EC 0A E8 66 9A CC 41 7C AF CC B2 AB 4A B5 B0 67 59 05 7D 2C 26 B0 06 C3 B4 64 4C 93 86 9F DE 53 29 E5 76 35 60 9C 81 76 B2 6A AE BF 6C 9F D7 12 12 7B CC 3F 36 0B 6D D9 41 00 A5 49 A8 22 E5 39 86 73 2D A8 A3 3B 6A 9F 52 02 2B C1 3E 10  
Nov 08 00:14:49.950  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x00AB (171) [ A9 00 26 3C 79 B4 6F 0D D2 17 09 02 FB 48 D3 EE ... ]  42 20 AF 00 AB 00 48 00 A9 00 26 3C 79 B4 6F 0D D2 17 09 02 FB 48 D3 EE D8 2A EE B2 0C C0 F4 AF C0 5E 52 B2 AE 4F B1 54 F7 81 F9 62 E7 B5 BB 1A 7A 3C 1D 72 4A DC AF 24 33 7E 25 B0 17 99 53 B0 FD 78 12 1A 01 6C 71 99 C4 00 CB 3B D7 8B 93 28 A4 07 D3 0B 6D 7A 9B BF E1 F4 10 71 9A 1B BD 6B BF B7 F3 CB 62 59 BE F7 A5 65 98 06 66 56 E8 CC 51 DE 5D 77 0B A4 83 44 BF C9 3B 3D 15 26 D7 BA B6 8E E0 20 67 37 44 48 52 96 9A 24 83 B2 76 4B 7B F8 2F 35 7C 3D AF 96 78 82 1D 25 97 67 A2 28 1C 38 0F FD 95 A4 88 27 73 2C E5 8C 60 0A B0 37 6F 95 C6  
Nov 08 00:14:49.950  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x004B (75) [ 49 00 9B 3F FA B3 53 3B C6 42 03 CB 98 92 84 4B ... ]  42 20 4F 00 4B 00 48 00 49 00 9B 3F FA B3 53 3B C6 42 03 CB 98 92 84 4B AF 05 67 BE 0F 3D 1E 25 C2 EF 7D 61 4C 37 A0 4E C5 16 26 41 93 80 41 37 99 3E D9 D5 A8 76 9D 3A 1B 05 3E D8 7F A4 91 B4 DF 86 75 3A 7E 20 95 74 AB 53 51 9D CE E8 75 CB 0D 5C 32  
Nov 08 00:14:49.950  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x003B (59) [ 39 00 33 F8 49 06 50 4F 8E BC 02 A5 F8 79 18 17 ... ]  42 20 3F 00 3B 00 48 00 39 00 33 F8 49 06 50 4F 8E BC 02 A5 F8 79 18 17 06 53 2D 12 66 29 A7 BB 34 39 04 87 4E 9D 2C 03 5D 50 58 40 AA 34 41 CE 0C CC 93 00 85 4D 1C 58 FF 17 54 7E D1 5F F9 96 E9 75 7B  
Nov 08 00:14:49.952  HCI Event        0x0042  RB Meta 000X       Number Of Completed Packets - Handle: 0x0042 - Packets: 0x0002    13 05 01 42 00 02 00  
Nov 08 00:14:49.952  HCI Event        0x0042  RB Meta 000X       Number Of Completed Packets - Handle: 0x0042 - Packets: 0x0002    13 05 01 42 00 02 00  
Nov 08 00:14:49.953  L2CAP Receive    0x0042  RB Meta 000X       Channel ID: 0x0048  Length: 0x003B (59) [ 39 00 73 D0 16 BF 75 55 87 A3 02 36 36 73 54 0B ... ]  42 20 3F 00 3B 00 48 00 39 00 73 D0 16 BF 75 55 87 A3 02 36 36 73 54 0B C8 96 5C D2 B2 3E B3 BE 81 3E 27 4B 4E DB 08 05 BF AE 85 FA 38 D4 C9 78 78 1B 4D F8 C2 E7 6C C1 40 1D D5 F6 53 13 2D 6D A4 90 AB  
