Nov 07 22:59:26.514  Config           0x000C  RB Meta 02QJ       Connected: 98:59:49:EF:B7:98 - Handle: 0xC - RB Meta 02QJ - Central - Codec: mSBC - PID/VID 0x0102/0x01AB - Ver 0x1436  07 00 0C 00 98 B7 EF 49 59 98 02 00 AB 01 02 01 36 14 01 00 00 52 42 20 4D 65 74 61 20 30 32 51 4A  
Nov 07 22:59:26.514  Config           0x004A  RB Meta 02QJ       Connected: 98:59:49:EF:B7:98 - Handle: 0x4A - RB Meta 02QJ - 86265FFC-8B17-B70F-35A4-871F42F15702  01 4A 00 0C 52 42 20 4D 65 74 61 20 30 32 51 4A 98 B7 EF 49 59 98 86 26 5F FC 8B 17 B7 0F 35 A4 87 1F 42 F1 57 02  
Nov 07 22:59:26.517  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x001B (27) [ 19 00 F4 89 A2 4F 30 A9 8C 7A 00 A3 6C BE B4 EB ... ]  4A 20 1F 00 1B 00 4A 00 19 00 F4 89 A2 4F 30 A9 8C 7A 00 A3 6C BE B4 EB CA E8 56 D6 0F 8C AD 8F 00 6A 22  
Nov 07 22:59:26.519  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x005B (91) [ 59 00 93 66 AD DE F9 C3 3A AD 04 05 00 90 50 13 ... ]  4A 20 5F 00 5B 00 4A 00 59 00 93 66 AD DE F9 C3 3A AD 04 05 00 90 50 13 1C 82 53 4C BF F8 40 94 CA 15 F7 8D DA FD 91 F8 56 B8 B9 B1 2E 91 55 10 0E DC FC D6 43 EC E1 3B 85 95 AD 2B F8 FC 73 C3 9C 96 61 E5 F9 C5 D4 41 83 E8 FB 8F 0B A7 24 22 7F B9 FD 07 1A 19 E6 75 35 1D E4 A5 E3 FC 28 E4 32 87 04  
Nov 07 22:59:26.519  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x005B (91) [ 59 00 34 86 77 AE 2F 2A BE 41 04 02 E0 F8 F2 38 ... ]  4A 20 5F 00 5B 00 4A 00 59 00 34 86 77 AE 2F 2A BE 41 04 02 E0 F8 F2 38 A3 27 01 D3 5A 0A D1 07 AD 6A 0C 2E 54 47 85 A4 9F DA 55 3B 1E D0 93 79 93 B1 A7 DE 6E 21 2C FB C5 6B 9E 2C 7B 45 CC 2A 55 54 9C BF 0C 83 9C 06 43 BB C3 44 AB AC 57 1C E3 8C 74 D0 B2 5D 9C 3E 9E 47 42 95 60 CC 29 B7 DA AE 91  
Nov 07 22:59:26.577  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x008B (139) [ 89 00 9C CC EA A8 5F C0 FE 90 07 83 34 7A DC A9 ... ]  4A 20 8F 00 8B 00 4A 00 89 00 9C CC EA A8 5F C0 FE 90 07 83 34 7A DC A9 53 8B D1 A1 95 F8 B3 33 6D D7 BE 8B 8C 27 E1 09 74 10 F2 66 31 24 AD 79 1C D0 F0 2A 0F EC 5E A5 46 AA BE 86 B2 31 25 9A AE 63 C6 A0 E5 40 BC 1C 96 B8 74 DB AE 37 BC 81 B1 6F F3 DB 24 F0 3F 1B F6 11 75 92 81 A3 49 D5 F7 6E 55 29 02 20 1E 21 EE 97 A7 46 A4 C0 6C 4D 1B F5 30 67 B0 04 39 87 25 CE CE B4 AB DF 1C F6 3B 54 1A F9 31 5C 81 95 BA 4E 1C 44 0C 62 7C 10 0D 74 D2  
Nov 07 22:59:26.607  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 83 B3 6D 6D 16 A8 3A 63 03 36 C3 1B 6D 4C ... ]  4A 20 4F 00 4B 00 4A 00 49 00 83 B3 6D 6D 16 A8 3A 63 03 36 C3 1B 6D 4C 96 BC 02 8E EE 37 22 2B F6 72 F3 C5 4F 36 69 93 5D 18 27 F0 E8 1A 44 54 96 B7 2A 2C B3 4E 7C 63 36 42 F6 D1 C5 EB 8F C2 CA 8C AF 20 77 D7 50 78 A2 ED 6E B0 F2 EF 51 85 D7 A0 DE  
Nov 07 22:59:26.609  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 31 E3 D8 F7 F0 DB 19 C0 03 F1 36 F2 C4 D5 ... ]  4A 20 4F 00 4B 00 4A 00 49 00 31 E3 D8 F7 F0 DB 19 C0 03 F1 36 F2 C4 D5 B7 88 C1 C7 BB 38 96 CC 03 B6 13 8E 68 B5 B5 2F A3 6D C4 74 C1 4B 04 45 5F D3 63 F6 C4 59 5F A6 B2 62 7E 04 48 4B 38 0E 16 D7 08 9D 9A 4E 97 70 FD 6F C9 13 FD 49 9C 67 88 B6 EF  
Nov 07 22:59:26.638  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x005B (91) [ 59 00 38 D9 9A 20 F4 67 8C 9D 04 6F 78 85 D4 10 ... ]  4A 20 5F 00 5B 00 4A 00 59 00 38 D9 9A 20 F4 67 8C 9D 04 6F 78 85 D4 10 A3 65 09 4D 8F AE 3E 71 D7 2A BA 80 6B 4F 39 85 9A A0 FC F2 AD 13 EF 6D 06 BF 28 3C 16 60 1D 26 8D 4F 60 12 5F 24 1E C9 6A D0 17 44 F4 BB 10 7D 9C 8D 0C 58 A5 79 24 C4 97 85 20 C5 6C 04 AE 89 6B FB 41 91 C9 EC 5A 20 4F 71 19  
Nov 07 22:59:26.639  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 D2 CE 65 F0 DB 36 33 74 03 41 42 20 58 CE ... ]  4A 20 4F 00 4B 00 4A 00 49 00 D2 CE 65 F0 DB 36 33 74 03 41 42 20 58 CE A3 6A 91 33 CF 66 2E 82 2F 84 E3 3F 96 8B 3E 0D 66 D0 61 74 DA 31 06 EE 99 89 B1 BB DC B6 8B B9 E2 20 D9 6A 90 3F A0 4E B2 81 55 C9 B4 64 50 F9 05 B4 F3 FC 2D 05 15 5B 3F C7 4C  
Nov 07 22:59:26.667  L2CAP Receive    0x004A  RB Meta 02QJ       Channel ID: 0x004A  Length: 0x004B (75) [ 49 00 2D F9 E7 DD D3 31 77 B3 03 41 7D 7B D8 90 ... ]  4A 20 4F 00 4B 00 4A 00 49 00 2D F9 E7 DD D3 31 77 B3 03 41 7D 7B D8 90 42 E3 3C EA 87 3E B4 FD 27 86 D8 B9 3E DB 6B FE 47 9E 4C 00 50 42 F2 0B EE D5 41 87 18 07 95 D7 FD 2E 11 F8 B7 19 43 F5 5C FF 1D 10 00 7B 4A FE 1A FA F7 59 BB 9F CA 83 5B 82 76  
Nov 07 22:59:26.689  HCI Event        0x004A  RB Meta 02QJ       Number Of Completed Packets - Handle: 0x004A - Packets: 0x0001    13 05 01 4A 00 01 00  
