Voltage,Percentage,Temperature,Elapsed Time
4343,99,2510.0,0.0
4343,99,2510.0,0.523
4344,99,2500.0,20.474
4344,99,2500.0,21.009
4344,99,2500.0,66.687
4344,99,2500.0,66.733
4344,99,2500.0,66.782
4344,99,2500.0,67.29
4344,99,2500.0,83.848
4344,99,2500.0,83.861
4344,99,2500.0,83.895
4344,99,2500.0,83.9
4344,99,2500.0,84.403
4344,98,2500.0,103.982
4344,98,2500.0,104.491
4326,98,2490.0,110.81
4326,98,2490.0,111.327
4330,98,2500.0,120.072
4330,98,2500.0,120.583
4330,98,2500.0,133.577
4330,98,2500.0,133.772
4277,98,2490.0,133.816
4277,98,2490.0,134.323
4299,98,2500.0,140.304
4299,98,2500.0,140.82
4299,98,2500.0,142.792
4299,98,2500.0,142.837
4299,98,2500.0,142.862
4299,98,2500.0,143.394
4299,98,2500.0,145.039
4299,98,2500.0,145.126
4299,98,2500.0,145.15
4299,98,2500.0,145.677
4280,98,2490.0,163.321
4280,98,2490.0,163.85
4280,98,2490.0,172.478
4280,98,2490.0,172.514
4280,98,2490.0,173.048
4280,98,2490.0,173.948
4280,98,2490.0,174.476
4280,98,2490.0,177.501
4280,98,2490.0,177.553
4280,98,2490.0,177.573
4280,98,2490.0,177.591
4280,98,2490.0,177.602
4280,98,2490.0,178.116
4280,98,2490.0,178.338
4280,98,2490.0,178.385
4280,98,2490.0,178.924
4308,98,2500.0,180.085
4308,98,2500.0,180.59
4308,98,2500.0,181.895
4308,98,2500.0,181.929
4308,98,2500.0,182.465
4308,98,2500.0,183.349
4308,98,2500.0,183.359
4308,98,2500.0,183.381
4308,98,2500.0,183.932
4308,97,2500.0,184.382
4308,97,2500.0,184.429
4308,97,2500.0,184.528
4308,97,2500.0,184.555
4308,97,2500.0,185.071
4308,95,2500.0,248.244
4308,95,2500.0,248.781
4253,95,2510.0,255.11
4253,95,2510.0,255.627
4255,95,2520.0,275.493
4255,95,2520.0,276.037
4255,95,2530.0,285.685
4255,95,2530.0,286.239
4249,95,2540.0,295.83
4249,95,2540.0,296.362
4247,95,2560.0,306.063
4247,95,2560.0,306.61
4241,95,2570.0,314.853
4241,94,2570.0,314.894
4241,94,2570.0,315.429
4226,94,2580.0,326.44
4226,94,2580.0,326.973
4243,94,2590.0,336.58
4243,94,2590.0,337.126
4228,94,2600.0,346.718
4228,94,2600.0,347.258
4241,94,2610.0,356.959
4241,94,2610.0,357.49
4235,94,2620.0,367.144
4235,94,2620.0,367.678
4244,94,2640.0,377.3
4244,94,2640.0,377.837
4244,93,2640.0,380.168
4244,93,2640.0,380.722
4239,93,2650.0,397.669
4239,93,2650.0,398.211
4231,93,2660.0,407.954
4231,93,2660.0,408.507
4230,93,2670.0,418.0
4230,93,2670.0,418.531
4232,93,2680.0,428.238
4232,93,2680.0,428.791
4231,93,2690.0,438.47
4231,93,2690.0,439.005
4231,92,2690.0,445.537
4231,92,2690.0,446.081
4222,92,2700.0,458.81
4222,92,2700.0,459.361
4226,92,2710.0,468.944
4226,92,2710.0,469.479
4218,92,2720.0,479.18
4218,92,2720.0,479.726
4223,92,2730.0,499.522
4223,92,2730.0,500.051
4219,92,2740.0,509.606
4219,91,2740.0,509.664
4219,91,2740.0,510.193
4215,91,2750.0,520.032
4215,91,2750.0,520.591
4216,91,2760.0,540.452
4216,91,2760.0,540.972
4219,91,2770.0,550.597
