Test,,,,,,Actual,Glass,Client,,P2C (s),G2P (s),P2C (ms),G2P(ms)
,,,,,1,40.423,40.013,39.801,,0.212,0.41,212,410
,,,,,2,1.763,1.413,1.122,,0.291,0.35,291,350
,,,,,3,44.182,44.007,43.482,,0.525,0.175,525,175
,,,,,4,2.869,1.993,1.82,,0.173,0.876,173,876
,,,,,5,40.362,39.257,38.966,,0.291,1.105,291,1105
,,,,,6,46.86,44.628,44.336,,0.292,2.232,292,2232
,,,,,7,15.201,14.83,14.571,,0.259,0.371,259,371
,,,,,8,6.007,5.363,5.043,,0.32,0.644,320,644
,,,,,9,24.993,23.538,23.498,,0.04,1.455,40,1455
,,,,,10,16.548,16.141,15.966,,0.175,0.407,175,407
,,,,,11,20.971,20.58,20.564,,0.016,0.391,16,391
,,,,,12,4.903,4.571,4.554,,0.017,0.332,17,332
,,,,,13,16.024,15.574,15.357,,0.217,0.45,217,450
,,,,,14,13.753,12.285,12.111,,0.174,1.468,174,1468
,,,,,15,13.352,12.701,12.523,,0.178,0.651,178,651
,,,,,,,,,Average L,0.212,0.754466667,212,754.4666667
