"Interval start","Filtered packets"
0,453944
1,412448
2,337568
3,342696
4,232976
5,206472
6,210688
7,215312
8,148920
9,439456
10,389080
11,293360
12,314520
13,310048
14,321152
15,263992
16,405808
17,382912
18,361680
19,286848
20,243672
21,278416
22,220888
23,201648
24,230840
25,182568
26,196096
27,233888
28,276472
29,221264
30,272640
31,303280
32,290920
33,282240
34,223976
35,227168
36,195712
37,201840
38,252312
39,307248
40,291600
41,281696
42,212104
43,189344
44,199616
45,217336
46,219696
47,222384
48,194824
49,220248
50,409784
51,258544
52,272144
53,328640
54,273680
55,207072
56,315168
57,231248
58,389168
59,201352
60,135352
61,74096
62,394096
63,591584
64,551608
65,530424
66,594432
67,510432
68,493272
69,652000
70,468320
71,512608
72,517080
73,516472
74,530880
75,497984
76,473616
77,523472
78,512864
79,578760
80,506640
81,572536
82,503080
83,492224
84,502056
85,532608
86,589792
87,503048
88,494616
89,568760
90,496440
91,521584
92,573056
93,88848
94,409200
95,521784
96,581728
97,537440
98,492304
99,602704
100,519952
101,521776
102,552312
103,433104
104,528176
105,537080
106,529832
107,494256
108,585032
109,531960
110,564328
111,508192
112,631000
113,483832
114,603464
115,463656
116,503264
117,538576
118,515040
119,533104
120,528224
121,576488
122,463168
123,493352
124,596176
125,491328
126,532776
127,498808
128,520928
129,483696
130,516280
131,471520
132,535504
133,530752
134,484096
135,487456
136,555256
137,513720
138,557976
139,481528
140,512400
141,564024
142,538016
143,488360
144,501464
145,541664
146,556872
147,565744
148,512528
149,491520
150,522016
151,510120
152,565640
153,571112
154,552928
155,542440
156,523520
157,523000
158,480760
159,545976
160,514000
161,472856
162,497344
163,512720
164,510968
165,503496
166,474936
167,557800
168,501136
169,556264
170,547824
171,551832
172,558024
173,486424
174,504008
175,578504
176,555280
177,595280
178,507336
179,583072
180,520496
181,225272
182,297432
183,506448
184,489656
185,530536
186,537472
187,549704
188,501536
189,481632
190,499576
191,289264
192,321200
193,379984
194,275768
195,286944
196,354392
197,364016
198,334080
199,317552
200,314944
201,384360
202,365504
203,315072
204,413216
205,373560
206,319768
207,341064
208,347464
209,315432
210,314208
211,326624
212,323032
213,356800
214,314832
215,306136
216,365856
217,412952
218,346808
219,314296
220,369832
221,342624
222,383528
223,306728
224,352048
225,292032
226,313096
227,321712
228,311616
229,317336
230,295288
231,334864
232,326136
233,330560
234,318760
235,337808
236,364320
237,373664
238,388320
239,327144
240,351072
241,346144
242,344008
243,333128
244,365240
245,330600
246,369752
247,302832
248,317704
249,352088
250,338032
251,340504
252,409504
253,550264
254,485504
255,568136
256,558432
257,503016
258,524064
259,494944
