"Interval start","Filtered packets"
0,2.57858e+06
1,2.65845e+06
2,2.74417e+06
3,2.3861e+06
4,2.42442e+06
5,2.36318e+06
6,2.64114e+06
7,2.4395e+06
8,2.56145e+06
9,2.47549e+06
10,2.48833e+06
11,2.48193e+06
12,2.52072e+06
13,2.55753e+06
14,2.50376e+06
15,2.49836e+06
16,2.4089e+06
17,3.03897e+06
18,3.88164e+06
19,4.38522e+06
20,4.03334e+06
21,3.90099e+06
22,3.7489e+06
23,3.70993e+06
24,3.75324e+06
25,3.52809e+06
26,3.99338e+06
27,4.05426e+06
28,3.35439e+06
29,3.93778e+06
30,3.74881e+06
31,3.92468e+06
32,3.56824e+06
33,3.8815e+06
34,3.72402e+06
35,3.87911e+06
36,3.94498e+06
37,3.69348e+06
38,3.89723e+06
39,3.75302e+06
40,3.68737e+06
41,4.07663e+06
42,1.35487e+06
43,2.48061e+06
44,3.85223e+06
45,3.95805e+06
46,3.67162e+06
47,3.8933e+06
48,3.79847e+06
49,3.83175e+06
50,3.7569e+06
51,3.83193e+06
52,3.81097e+06
53,3.81523e+06
54,3.83215e+06
55,3.7121e+06
56,4.0375e+06
57,3.64273e+06
58,3.93213e+06
59,3.77029e+06
60,3.73349e+06
61,3.8507e+06
62,3.89777e+06
63,3.75686e+06
64,3.85921e+06
65,3.75338e+06
66,3.83085e+06
67,3.78526e+06
68,3.94034e+06
69,3.71514e+06
70,3.8269e+06
71,3.75426e+06
72,4.07346e+06
73,3.70792e+06
74,3.84298e+06
75,3.5211e+06
76,3.96707e+06
77,3.85046e+06
78,3.94142e+06
79,3.80294e+06
80,3.77769e+06
81,3.8184e+06
82,607200
83,3.18905e+06
84,3.58701e+06
85,3.91972e+06
86,3.696e+06
87,3.92662e+06
88,3.82906e+06
89,3.61582e+06
90,3.97677e+06
91,3.72255e+06
92,3.73942e+06
93,3.88802e+06
94,3.93381e+06
95,4.6994e+06
96,3.64241e+06
97,3.78446e+06
98,4.45868e+06
99,3.74887e+06
100,4.17577e+06
101,3.55431e+06
