"Interval start","Filtered packets"
0,461640
1,453688
2,467776
3,506176
4,565056
5,499216
6,464784
7,500936
8,553528
9,433344
10,450080
11,458056
12,467952
13,474264
14,577632
15,418760
16,466376
17,521696
18,448424
19,457608
20,461848
21,489496
22,420032
23,426760
24,489424
25,441248
26,524976
27,461808
28,494904
29,485504
30,491352
31,501840
32,553928
33,431872
34,527312
35,533184
36,403400
37,517728
38,491400
39,503936
40,470712
41,470088
42,436992
43,431272
44,524048
45,482928
46,569344
47,476576
48,577608
49,545280
50,499720
51,417256
52,494840
53,485488
54,473608
55,466960
56,428544
57,522608
58,457264
59,460568
60,474656
61,438960
62,495952
63,501784
64,502848
65,531424
66,431488
67,468840
68,458336
69,409712
70,529016
71,517336
72,470408
73,510696
74,503184
75,494224
76,507208
77,455872
78,462304
79,410720
80,521432
81,476096
82,441848
83,546096
84,475024
85,432776
86,494160
87,493640
88,519864
89,543904
90,519024
91,469488
92,481248
93,113016
94,396384
95,482816
96,494712
97,470824
98,475360
99,454312
100,487720
101,475992
102,519368
103,575424
104,518688
105,452056
106,450512
107,498480
108,505400
109,462408
110,450160
111,485144
112,466752
113,418568
114,466720
115,451528
116,439160
117,475968
118,485032
119,446696
120,456064
121,483952
122,473032
123,416704
124,506128
125,503856
126,462360
127,451856
128,443472
129,489344
130,452352
131,454816
132,428384
133,512216
134,439272
135,468536
136,460752
137,517128
138,461224
139,538328
140,416048
141,575016
142,439032
143,466280
144,415440
145,502448
146,532024
147,433584
148,485312
149,519160
150,437888
151,410888
152,522968
153,458752
154,507296
155,441800
156,489872
157,569024
158,519296
159,415472
160,463840
161,463984
162,479536
163,472696
164,423248
165,500224
166,441664
167,450832
168,391216
169,402768
170,488064
171,494960
172,504096
173,464664
174,454752
175,434400
176,430648
177,472280
178,525400
179,416664
180,501048
181,180568
182,376400
183,539328
184,542896
185,439960
186,484192
187,429840
188,441344
189,505072
190,484984
191,419048
192,451448
193,462040
194,529040
195,480968
196,561376
197,503896
198,401032
199,521632
200,470496
201,474648
202,486088
203,497848
204,493176
205,473624
206,382200
207,523064
208,513000
209,416256
210,500592
211,481688
212,421496
213,464136
214,451792
215,541312
216,475168
217,459760
218,465424
219,481824
220,453736
221,456240
222,506480
223,432304
224,507208
225,537608
226,437024
227,505696
228,511496
229,476872
230,457328
231,419480
232,542520
233,466088
234,461368
235,545952
236,517672
237,437784
238,484648
239,453944
240,492664
241,429704
242,457096
243,509440
244,469000
245,574488
246,425824
247,417168
248,485344
249,495688
250,536504
251,455712
252,420528
253,515160
254,501104
255,439560
256,520128
257,489888
258,539304
259,487384
