"Interval start","Filtered packets"
0,1.79898e+06
1,1.68967e+06
2,1.78352e+06
3,1.66818e+06
4,1.7937e+06
5,1.6577e+06
6,1.71661e+06
7,1.81202e+06
8,1.64747e+06
9,1.73812e+06
10,1.69574e+06
11,1.83951e+06
12,1.66895e+06
13,1.74858e+06
14,1.7015e+06
15,1.71143e+06
16,1.68382e+06
17,1.79298e+06
18,1.79183e+06
19,1.67062e+06
20,1.65445e+06
21,1.66921e+06
22,1.64498e+06
23,1.67638e+06
24,1.60413e+06
25,1.76234e+06
26,1.6091e+06
27,1.6575e+06
28,1.69982e+06
29,1.72373e+06
30,1.66756e+06
31,1.71249e+06
32,1.75672e+06
33,1.50237e+06
34,1.71813e+06
35,1.71643e+06
36,1.658e+06
37,1.68414e+06
38,1.79786e+06
39,1.56237e+06
40,1.75178e+06
41,1.52447e+06
42,533328
43,1.17479e+06
44,1.65523e+06
45,1.67744e+06
46,1.71085e+06
47,1.75053e+06
48,1.71339e+06
49,1.74689e+06
50,1.72233e+06
51,1.81739e+06
52,1.68412e+06
53,1.82503e+06
54,1.66422e+06
55,1.81738e+06
56,1.70442e+06
57,1.78288e+06
58,1.759e+06
59,1.70634e+06
60,1.80373e+06
61,1.83658e+06
62,1.74755e+06
63,1.70998e+06
64,1.85933e+06
65,1.82818e+06
66,1.69438e+06
67,1.90546e+06
68,1.79606e+06
69,1.7465e+06
70,1.75761e+06
71,1.79395e+06
72,1.86423e+06
73,1.70109e+06
74,1.97316e+06
75,1.51904e+06
76,1.83006e+06
77,1.71232e+06
78,1.71811e+06
79,1.99382e+06
80,1.83577e+06
81,1.68469e+06
82,178648
83,1.62517e+06
84,1.73696e+06
85,1.71349e+06
86,1.71875e+06
87,1.7227e+06
88,1.7806e+06
89,1.60686e+06
90,1.60304e+06
91,325904
92,401920
93,420992
94,382176
95,426544
96,407848
97,350768
98,330824
99,346552
100,441040
101,410992
