"Interval start","Filtered packets"
0,3.26058e+06
1,3.62378e+06
2,4.91122e+06
3,3.7803e+06
4,2.39905e+06
5,4.78226e+06
6,4.01738e+06
7,1.82698e+06
8,2.1321e+06
9,2.16079e+06
10,3.04951e+06
11,2.17706e+06
12,2.14519e+06
13,2.17825e+06
14,1.75527e+06
15,3.11319e+06
16,3.91012e+06
17,2.26935e+06
18,2.14134e+06
19,2.29129e+06
20,2.33194e+06
21,2.21406e+06
22,2.43186e+06
23,2.27432e+06
24,1.85027e+06
25,2.60394e+06
26,1.79372e+06
27,2.48648e+06
28,1.84706e+06
29,1.74313e+06
30,1.29927e+06
31,1.90037e+06
32,2.08806e+06
33,1.22106e+06
34,1.31218e+06
35,2.20349e+06
36,4.20298e+06
37,3.78889e+06
38,5.61686e+06
39,4.60158e+06
40,3.39138e+06
41,4.25653e+06
42,4.63996e+06
43,4.6602e+06
44,170112
45,2.25834e+06
46,4.15426e+06
47,4.17986e+06
48,4.0248e+06
49,2.76769e+06
50,5.11826e+06
51,3.78689e+06
52,4.08482e+06
53,3.55508e+06
54,3.71976e+06
55,3.73667e+06
56,4.907e+06
57,3.63684e+06
58,3.44814e+06
59,3.55182e+06
60,3.6345e+06
61,4.0523e+06
62,2.8204e+06
63,4.01726e+06
64,3.61198e+06
65,3.35994e+06
66,3.8255e+06
67,5.35804e+06
68,3.6888e+06
69,3.04197e+06
70,3.4178e+06
71,2.89874e+06
72,4.75714e+06
73,3.68133e+06
74,3.25982e+06
75,2.46198e+06
76,2.87534e+06
77,1.76012e+06
78,3.39882e+06
79,3.51206e+06
80,3.26747e+06
81,3.80656e+06
82,3.0751e+06
83,1.84166e+06
84,2.54027e+06
85,1.40699e+06
86,1.80462e+06
87,2.82438e+06
88,1.74098e+06
89,1.65306e+06
90,2.2922e+06
91,1.84032e+06
92,2.85695e+06
93,4.0514e+06
94,4.47648e+06
95,3.61359e+06
96,4.62908e+06
97,4.34272e+06
98,4.03633e+06
99,5.11562e+06
100,1.92633e+06
101,3.11138e+06
102,4.05763e+06
103,2.66158e+06
104,3.9928e+06
105,2.46015e+06
106,5.39087e+06
107,3.37476e+06
108,3.59258e+06
109,2.94039e+06
110,3.86396e+06
111,3.2753e+06
112,3.18775e+06
113,3.41374e+06
114,3.8519e+06
115,3.80658e+06
116,3.87702e+06
117,1.27401e+06
118,4.63438e+06
119,2.97725e+06
120,2.7677e+06
121,2.53824e+06
122,3.16376e+06
123,2.69165e+06
124,4.34811e+06
125,3.09288e+06
126,4.72858e+06
127,1.54402e+06
128,3.20536e+06
129,4.55493e+06
130,4.5663e+06
131,3.31232e+06
132,5.26176e+06
133,2.41976e+06
134,1.75847e+06
135,1.93496e+06
136,2.25641e+06
137,2.00078e+06
138,1.94062e+06
139,2.34399e+06
140,2.69066e+06
141,2.87216e+06
142,3.9422e+06
143,3.89854e+06
144,3.54171e+06
145,4.38726e+06
146,3.96449e+06
147,4.07652e+06
148,3.43745e+06
149,4.22767e+06
150,4.05074e+06
151,4.57532e+06
152,3.1028e+06
153,1.53886e+06
154,4.82037e+06
155,2.44483e+06
156,1.6796e+06
157,2.48783e+06
158,2.11352e+06
159,4.63715e+06
160,4.14187e+06
161,4.84142e+06
162,4.44338e+06
163,3.0471e+06
164,2.88185e+06
165,4.98516e+06
166,2.75766e+06
167,2.75143e+06
168,687656
169,1.02623e+06
170,250752
171,333592
172,1.11734e+06
173,696120
174,1.29426e+06
175,1.01011e+06
176,908216
177,1.01374e+06
178,1.07522e+06
179,2.61521e+06
180,2.62032e+06
181,1.38907e+06
182,1.46163e+06
183,5.9535e+06
184,4.70363e+06
185,1.54934e+06
186,2.67629e+06
