"Interval start","Filtered packets"
0,1.61593e+06
1,1.58028e+06
2,1.79951e+06
3,1.71037e+06
4,1.53799e+06
5,0
6,0
7,0
8,0
9,0
10,1888
11,0
12,0
13,0
14,0
15,1440
16,0
17,0
18,1056
19,0
20,0
21,263160
22,775728
23,1.00894e+06
24,1.12957e+06
25,1.48998e+06
26,927736
27,1.84823e+06
28,1.72514e+06
29,1.78679e+06
30,1.82822e+06
31,1.51002e+06
32,832
33,0
34,0
35,0
36,0
37,0
38,1056
39,0
40,0
41,0
42,0
43,0
44,1824
45,0
46,0
47,0
48,832
49,1056
50,0
51,0
52,32232
53,305664
54,227352
55,448216
56,542808
57,702400
58,557096
59,836896
60,781016
61,1.01073e+06
62,1.2016e+06
63,414888
64,0
65,0
66,0
67,1056
68,832
69,0
70,0
71,0
72,0
73,832
74,384
75,1056
76,0
77,0
78,0
79,832
80,0
81,0
82,0
83,143664
84,475936
85,511296
86,694752
87,591448
88,273752
89,226656
90,202080
91,175824
92,208280
93,195232
94,232536
95,211680
96,212344
97,204496
98,1.25892e+06
99,1.98596e+06
100,1.51871e+06
101,1.65758e+06
102,1.43114e+06
103,1.59066e+06
104,1.4881e+06
105,1.68414e+06
106,1.96658e+06
107,1.23871e+06
108,1.42534e+06
109,1.66265e+06
110,1.46418e+06
111,1.50154e+06
112,1.41146e+06
113,1.5839e+06
114,1.17622e+06
115,1.00035e+06
116,1.46004e+06
117,1.71934e+06
118,1.50974e+06
119,1.49837e+06
120,1.54399e+06
121,1.70858e+06
122,1.56388e+06
123,1.55882e+06
124,1.68392e+06
125,1.4579e+06
126,1.79879e+06
127,1.68716e+06
128,1.7687e+06
129,1.35381e+06
130,1.38756e+06
131,1.47697e+06
132,1.6373e+06
133,1.5221e+06
134,1.53306e+06
135,975704
136,633624
137,1.4341e+06
138,1.75689e+06
139,1.44501e+06
140,1.42678e+06
141,1.67239e+06
142,1.47383e+06
143,1.36054e+06
144,1.55521e+06
145,1.72249e+06
146,1.6063e+06
147,1.46055e+06
148,1.82328e+06
149,1.61067e+06
150,1.42243e+06
151,1.59277e+06
152,1.63998e+06
153,1.49013e+06
154,1.47559e+06
155,1.65928e+06
156,1.46355e+06
157,1.36378e+06
158,1.68148e+06
159,1.50564e+06
160,1.70292e+06
161,1.67214e+06
162,1.46214e+06
163,1.51976e+06
164,1.17658e+06
165,954112
166,1.89526e+06
167,1.63148e+06
168,1.80942e+06
169,1.51094e+06
170,1.04369e+06
171,1.52138e+06
172,1.35866e+06
173,1.6021e+06
174,1.49227e+06
175,1.4301e+06
176,1.52616e+06
177,1.3419e+06
178,1.57742e+06
179,1.42247e+06
180,2.4849e+06
181,2.2883e+06
182,1.6948e+06
183,1.65978e+06
184,1.65402e+06
185,1.50873e+06
186,1.52626e+06
187,1.51885e+06
188,286352
189,1.19539e+06
190,1.66283e+06
191,1.67731e+06
192,1.51147e+06
193,1.45277e+06
194,1.60882e+06
195,1.376e+06
196,1.72558e+06
197,1.32904e+06
198,1.5743e+06
199,1.38694e+06
200,1.23267e+06
201,1.40293e+06
202,1.43592e+06
203,1.31925e+06
204,1.46617e+06
205,1.36645e+06
206,1.47157e+06
207,1.4487e+06
208,1.43603e+06
209,1.19693e+06
210,1.1727e+06
211,1.32894e+06
212,1.52326e+06
213,1.32682e+06
214,1.42571e+06
215,1.51141e+06
216,1.43441e+06
217,1.31054e+06
218,1.5905e+06
219,1.34981e+06
220,1.26864e+06
221,1.43974e+06
222,1.31345e+06
223,1.42668e+06
224,1.44525e+06
225,1.33992e+06
226,1.63342e+06
227,814184
228,0
229,0
230,1056
231,832
232,0
233,1056
234,0
235,0
236,832
237,1056
238,0
239,384
240,0
241,1056
242,0
243,0
244,1056
245,0
246,832
247,0
248,1056
249,0
250,0
251,832
252,1056
253,0
254,0
255,384
256,1888
257,451256
258,588512
259,644576
260,1.01251e+06
261,765264
262,746720
263,607288
264,671976
265,641544
266,605080
267,677840
268,669240
269,726304
270,726352
271,683448
272,903760
273,850712
274,769784
275,906216
276,660672
277,821616
278,624160
279,869952
280,808624
281,702744
282,583784
283,678344
284,535864
285,625784
286,844296
287,758712
288,1.07387e+06
289,892280
290,1.00049e+06
291,1.07286e+06
292,159800
293,1056
294,0
295,0
296,832
297,1056
298,0
299,384
300,0
301,1888
302,0
303,0
304,1056
305,832
306,0
307,0
308,1056
309,637472
310,738016
311,691136
312,470992
313,483488
314,695680
315,825160
316,508792
317,531648
318,345688
319,136568
320,15640
321,1888
322,832
323,2272
324,0
325,0
326,0
327,0
328,832
329,0
330,384
331,0
332,0
333,1888
334,0
335,0
336,0
337,832
338,0
339,0
340,0
341,0
342,832
343,0
344,1056
345,384
346,704304
347,266632
348,242552
349,180432
350,193128
351,267448
352,245736
353,174072
354,179608
355,646232
356,379984
357,701112
358,1.00853e+06
359,720760
360,623624
361,799216
362,790544
363,588440
364,486288
365,746752
366,559552
367,464
368,1056
369,0
370,832
371,0
372,1056
373,0
374,384
375,1888
376,0
377,0
378,0
379,1056
380,832
381,0
382,1056
383,0
384,0
385,482448
386,723112
387,778864
388,950320
389,791216
390,790976
391,748728
392,1.24016e+06
393,1.09974e+06
394,968072
395,805480
396,631104
397,825128
398,1.43062e+06
399,762792
400,239752
401,496208
402,733616
403,669176
404,613288
405,690648
