"Interval start","Filtered packets"
0,1.8433e+06
1,1.92159e+06
2,2.00171e+06
3,1.69569e+06
4,1.63062e+06
5,1.67822e+06
6,1.67145e+06
7,1.68508e+06
8,1.7297e+06
9,1.6295e+06
10,1.62375e+06
11,1.64205e+06
12,1.72569e+06
13,1.64062e+06
14,1.68118e+06
15,1.66265e+06
16,1.69711e+06
17,1.74657e+06
18,1.7195e+06
19,1.68578e+06
20,1.578e+06
21,1.81296e+06
22,1.72725e+06
23,1.62763e+06
24,1.68617e+06
25,1.626e+06
26,1.76198e+06
27,1.52927e+06
28,1.84506e+06
29,1.72382e+06
30,1.69515e+06
31,1.6548e+06
32,1.70456e+06
33,1.69277e+06
34,1.72319e+06
35,1.72562e+06
36,1.74889e+06
37,1.66961e+06
38,1.73127e+06
39,1.62358e+06
40,1.78546e+06
41,1.81218e+06
42,1.66675e+06
43,1.90874e+06
44,0
45,1.72762e+06
46,1.9513e+06
47,1.66345e+06
48,1.75138e+06
49,1.65638e+06
50,1.68932e+06
51,1.6915e+06
52,1.73595e+06
53,1.59777e+06
54,1.71747e+06
55,1.71434e+06
56,1.63806e+06
57,1.8329e+06
58,1.51542e+06
59,1.72886e+06
60,1.76892e+06
61,1.72716e+06
62,1.91118e+06
63,1.88317e+06
64,1.74884e+06
65,1.68348e+06
66,1.64493e+06
67,1.66034e+06
68,1.63762e+06
69,1.72926e+06
70,1.86179e+06
71,1.70366e+06
72,1.65201e+06
73,1.74782e+06
74,1.82154e+06
75,1.78606e+06
76,1.73044e+06
77,1.68893e+06
78,1.73565e+06
79,1.54152e+06
80,1.72662e+06
81,1.702e+06
82,1.85325e+06
83,1.72276e+06
84,1.73099e+06
85,850720
86,845616
87,1.94973e+06
88,1.8069e+06
89,1.64477e+06
90,1.67232e+06
91,1.58888e+06
92,1.69837e+06
93,1.70102e+06
94,1.65212e+06
95,1.66952e+06
96,1.79964e+06
97,1.7979e+06
98,1.66297e+06
99,1.61006e+06
100,1.70808e+06
101,1.70066e+06
102,1.81257e+06
103,1.78491e+06
104,1.8631e+06
105,1.67757e+06
106,1.68666e+06
107,1.7033e+06
108,1.67792e+06
109,1.72209e+06
110,1.69608e+06
111,1.68697e+06
112,1.62346e+06
113,1.67816e+06
114,1.75482e+06
115,1.78446e+06
116,1.78222e+06
117,1.68415e+06
118,1.63266e+06
119,1.85428e+06
120,1.60145e+06
121,1.72661e+06
122,1.68265e+06
123,1.72995e+06
124,1.83178e+06
125,1.82338e+06
126,1.94767e+06
127,569664
128,1.20575e+06
129,1.83083e+06
130,1.581e+06
131,1.86606e+06
132,1.8064e+06
133,1.75766e+06
134,1.70818e+06
135,1.83678e+06
136,1.72424e+06
137,1.72026e+06
138,1.7607e+06
139,1.78362e+06
140,1.75109e+06
141,1.74072e+06
142,1.65612e+06
143,1.61618e+06
144,1.8999e+06
145,1.70216e+06
146,1.74356e+06
147,1.98204e+06
148,1.71963e+06
149,1.7423e+06
150,1.78856e+06
151,1.68839e+06
152,1.73885e+06
153,1.78942e+06
154,1.61342e+06
155,1.80597e+06
156,1.74562e+06
157,1.69984e+06
158,1.78926e+06
159,1.70478e+06
160,1.71225e+06
161,1.62344e+06
162,1.69486e+06
163,1.67959e+06
164,1.73186e+06
165,1.6445e+06
166,1.70402e+06
167,1.42813e+06
168,1.74771e+06
169,1.70209e+06
170,659048
171,987032
172,1.87939e+06
173,1.6817e+06
174,1.67935e+06
175,1.64271e+06
176,1.68464e+06
177,1.62994e+06
178,1.6426e+06
179,1.69017e+06
180,1.63563e+06
181,1.74589e+06
182,1.76755e+06
183,1.4337e+06
184,1.88663e+06
185,1.73774e+06
186,1.81758e+06
