"Interval start","Filtered packets"
0,832
1,1056
2,0
3,0
4,0
5,0
6,1056
7,221952
8,394248
9,332200
10,286992
11,236032
12,391704
13,328744
14,323712
15,380480
16,270736
17,329680
18,269808
19,251920
20,447752
21,324688
22,312728
23,377896
24,305752
25,317624
26,353296
27,258480
28,364664
29,344608
30,309552
31,280584
32,350320
33,271904
34,381840
35,339152
36,406552
37,364144
38,333464
39,320176
40,295872
41,361040
42,315328
43,373048
44,343656
45,345656
46,319192
47,332328
48,415536
49,260632
50,324272
51,35080
52,328608
53,372768
54,341944
55,345776
56,297688
57,272784
58,382176
59,272560
60,368952
61,311872
62,341456
63,402560
64,181224
65,397936
66,333680
67,311072
68,333928
69,318392
70,346240
71,343672
72,238480
73,356720
74,376584
75,335360
76,331680
77,334920
78,399168
79,316680
80,333824
81,349272
82,336608
83,323256
84,361184
85,438584
86,293936
87,352288
88,284320
89,423096
90,315256
91,327240
92,327392
93,327008
94,396248
95,347808
96,117720
97,252536
98,271184
99,358704
100,338544
101,304472
102,359392
103,349256
104,327552
105,278112
106,372528
107,308600
108,350528
109,242744
110,320472
111,339024
112,285336
113,263576
114,404624
115,348584
116,341144
117,341544
118,375344
119,358328
120,317424
121,356656
122,373984
