Stage,Run #1 ,Run #2,Run #3,Run #4,Run #5,Run #6,Run #7,Run #8,Bleutooth,Insta,Rayban,
Glass,13320,27028,44427,50717,53856,43025,67349,,,,,
Phone,11101,19700,38897,47382,50893,38922,60832,,,,,
Latency G2S,2219,7328,5530,3335,2963,4103,6517,,4570.714286,,,
Client,5061,11909,27245,34332,35637,29989,51472,,,,,
Latency S2C,6040,7791,11652,13050,15256,8933,9360,,10297.42857,,,
Latency End-end,8259,15119,17182,16385,18219,13036,15877,,14868.14286,,,
,,,,,,,,,,,,
Stage,Run #1,Run #2,Run #3,Run #4,Run #5,Run #6,Run #7,Run #8,WIFI-Direct,Insta,Rayban,
Glass,43025,65749,27536,50165,24411,68110,44869,,,,,
Phone,38222,62023,24822,48942,23245,64969,42947,,,,,
Latency G2S,4803,3726,2714,1223,1166,3141,1922,,2670.714286,,,
Client,29989,55302,17599,39452,11120,56860,34469,,,,,
Latency S2C,8233,6721,7223,9490,12125,8109,8478,,8625.571429,,,
Latency End-End,13036,10447,9937,10713,13291,11250,10400,,11296.28571,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Stage,Run #1,Run #2,Run #3,Run #4,Run #5,Run #6,Run #7,Run #8,-,Insta,-,
Glass,-,-,-,-,-,-,-,-,,,,
Phone,20331,29277,34625,42131,15891,18625,20544,-,,,,
Client,11762,20710,26073,33579,7233,10015,11932,-,,,,
Latency End-End,8569,8567,8552,8552,8658,8610,8612,,8588.571429,,,
,,,,,,,,,,,,
Stage,Run #1,Run #2,Run #3,Run #4,Run #5,Run #6,Run #7,Run #8,Bluetooth,Messenger,Rayban,
Glass,13605,32274,956,335,25349,14419,10466,,,,,
Phone,13430,32099,782,161,25174,14245,10292,,,,,
Latency G2S,175,175,174,174,175,174,174,,174.4285714,,,
Client,13371,32040,724,103,25116,14187,10235,,,,,
Latency S2C,59,59,58,58,58,58,57,,58.14285714,,,
End-End,234,234,232,232,233,232,231,,232.5714286,,,
Stage,Run #1,Run #2,Run #3,Run #4,Run #5,Run #6,Run #7,Run #8,-,Messenger,-,
Glass,-,-,-,-,-,-,-,-,,,,
Phone,10312,11712,13226,14681,20216,25516,27730,,,,,
Client,10254,11654,13168,14622,20158,25458,27672,,,,,
Latency End-End,58,58,58,59,58,58,58,,58.14285714,,,
