"Interval start","Filtered packets"
0,23800
1,875776
2,0
3,24064
4,1.11334e+06
5,1.34938e+06
6,1.36371e+06
7,1.62918e+06
8,1.80019e+06
9,1.44666e+06
10,1.55008e+06
11,1.47866e+06
12,1.75949e+06
13,1.64173e+06
14,1.72339e+06
15,1.32531e+06
16,1.85446e+06
17,1.63789e+06
18,1.85293e+06
19,1.49376e+06
20,1.72928e+06
21,1.63866e+06
22,1.50861e+06
23,1.6361e+06
24,1.68269e+06
25,1.77843e+06
26,1.54163e+06
27,1.77638e+06
28,1.78202e+06
29,1.49709e+06
30,1.26464e+06
31,1.96762e+06
32,1.89363e+06
33,1.68576e+06
34,1.3353e+06
35,1.7193e+06
36,1.44896e+06
37,1.76128e+06
38,1.69088e+06
39,1.69267e+06
40,1.29613e+06
41,1.99603e+06
42,1.62253e+06
43,1.64992e+06
44,1.6448e+06
45,1.71827e+06
46,1.6448e+06
47,1.56467e+06
48,1.62458e+06
49,1.69856e+06
50,1.74259e+06
51,1.46611e+06
52,1.88954e+06
53,1.76358e+06
54,1.8263e+06
55,1.50042e+06
56,1.85728e+06
57,1.37626e+06
58,2.00115e+06
59,724224
60,81664
61,1.34016e+06
62,1.70675e+06
63,1.56493e+06
64,1.53421e+06
65,1.81146e+06
66,1.38112e+06
67,2.00218e+06
68,1.53933e+06
69,1.85421e+06
70,1.17146e+06
71,2.25075e+06
72,1.80173e+06
73,1.73056e+06
74,1.47174e+06
75,1.66118e+06
76,1.47917e+06
77,1.60717e+06
78,1.76e+06
79,1.64685e+06
80,1.68653e+06
81,1.78662e+06
82,1.74643e+06
83,1.3696e+06
84,1.86291e+06
85,1.73824e+06
86,1.70726e+06
87,888064
88,1.3888e+06
89,2.45709e+06
90,2.20186e+06
91,1.21114e+06
92,1.9223e+06
93,1.30432e+06
94,1.86803e+06
95,1.69856e+06
96,2.09254e+06
97,1.41363e+06
98,1.62893e+06
99,1.5657e+06
100,1.83398e+06
101,1.47635e+06
102,1.63507e+06
103,1.71571e+06
104,1.37472e+06
105,1.85165e+06
106,1.89696e+06
107,1.55034e+06
108,1.32864e+06
109,2.01728e+06
110,1.80582e+06
111,1.59539e+06
112,1.51091e+06
113,1.79712e+06
114,1.4953e+06
115,1.7385e+06
116,1.42874e+06
117,1.65376e+06
118,1.04218e+06
119,2.37312e+06
120,1.78637e+06
121,2.20646e+06
122,1.44384e+06
123,1.76128e+06
124,1.47533e+06
125,1.48915e+06
126,1.7495e+06
127,1.72262e+06
128,1.91155e+06
129,1.58029e+06
130,1.6512e+06
131,1.41363e+06
132,1.71136e+06
133,1.91744e+06
134,1.87802e+06
135,1.6896e+06
136,1.79789e+06
137,1.55443e+06
138,1.47533e+06
139,1.62586e+06
140,1.78125e+06
141,1.58336e+06
142,1.75667e+06
143,1.48352e+06
144,1.86854e+06
145,1.4697e+06
146,101120
147,65280
148,1.40211e+06
149,1.46278e+06
150,1.86163e+06
151,1.70214e+06
152,1.54061e+06
153,1.5104e+06
154,1.88134e+06
155,1.47226e+06
156,1.79021e+06
157,1.45126e+06
158,1.75232e+06
159,1.40006e+06
160,1.72595e+06
161,1.58822e+06
162,1.8665e+06
163,1.3696e+06
164,1.86522e+06
165,1.93075e+06
166,1.4272e+06
167,1.55162e+06
168,1.77792e+06
169,1.90874e+06
170,1.48326e+06
171,1.81325e+06
172,1.36269e+06
173,1.40442e+06
174,789248
175,1.47456e+06
176,1.6215e+06
177,1.79072e+06
178,1.44333e+06
179,1.68832e+06
180,1.85139e+06
181,1.69267e+06
182,1.49146e+06
183,1.71418e+06
184,1.4848e+06
185,2.03366e+06
186,1.45024e+06
187,1.69216e+06
188,1.7751e+06
189,1.53728e+06
190,1.82835e+06
191,1.78125e+06
192,1.5424e+06
193,1.25875e+06
194,1.72058e+06
195,2.02368e+06
196,1.65402e+06
197,1.53293e+06
198,1.98989e+06
199,1.22624e+06
