Test,Tx Power,Distance,Senarios,RSSI (dbm),Throughput (KB/S),Throughput (Kbps),Current (A),Power (W),
1,N12,0,Wall,-41,13.57,108.56,0.104,0.34424,
2,N12,5,Wall,-64,10.16,81.28,0.104,0.34424,
3,N12,10,Wall,-77,8.95,71.6,0.103,0.34093,
4,N12,15,Wall,-82,7.73,61.84,0.104,0.34424,
5,N12,20,Wall,-92,4.53,36.24,0.102,0.33762,
6,N12,0,Lobby,-34,11.498,91.984,0.104,0.34424,
7,N12,5,Lobby,-64,6.392,51.136,0.104,0.34424,
8,N12,10,Lobby,-76,7.094333333,56.75466667,0.104,0.34424,
9,N12,15,Lobby,-65,2.68375,21.47,0.104,0.34424,
10,N12,20,Lobby,-75,7.209,57.672,0.101,0.33431,
11,N12,25,Lobby,-77,1.695,13.56,0.104,0.34424,
12,N12,30,Lobby,-85,6.592333333,52.73866667,0.104,0.34424,
13,N12,0,Crowded,-36,11.936,95.488,0.104,0.34424,
14,N12,5,Crowded,-71,4.352,34.816,0.104,0.34424,
15,N12,10,Crowded,-83,1.233333333,9.866666667,0.104,0.34424,
16,N12,0,Workshop,-34,3.480666667,27.84533333,0.102,0.33762,There are more flacuations and less consistency in the throughput for less TX power.
17,N12,5,Workshop,-64,7.326,58.608,0.104,0.34424,
18,N12,10,Workshop,-76,1.71,13.68,0.104,0.34424,
19,N9,0,Lobby,-39,11.30482759,90.43862069,0.101,0.33431,
20,N9,5,Lobby,-62,5.71862069,45.74896552,0.101,0.33431,
21,N9,10,Lobby,-64,6.888275862,55.1062069,0.101,0.33431,
22,N9,15,Lobby,-71,3.171666667,25.37333333,0.101,0.33431,
23,N9,20,Lobby,-74,2.590689655,20.72551724,0.101,0.33431,
24,N9,0,Workshop,-58,8.708,69.664,0.101,0.33431,
25,N9,5,Workshop,-63,5.854333333,46.83466667,0.101,0.33431,
26,N9,10,Workshop,-78,4.032,32.256,0.101,0.33431,
27,N9,15,Workshop,-85,2.334333333,18.67466667,0.101,0.33431,
28,N9,20,Workshop,-83,1.14,9.12,0.101,0.33431,
29,N6,0,Wall,-38,11.1,88.8,0.104,0.34424,
30,N6,5,Wall,-67,8.65,69.2,0.104,0.34424,
