"Interval start","All Packets"
0,3.30148e+06
2,3.47378e+06
4,3.15413e+06
6,3.50801e+06
8,3.70262e+06
10,3.58641e+06
12,3.87589e+06
14,3.63824e+06
16,3.72517e+06
18,3.68528e+06
20,4.78188e+06
22,1.45778e+06
24,1.6167e+06
26,2.0725e+06
28,2.30615e+06
30,3.67706e+06
32,9.74153e+06
34,6.28671e+06
36,5.33278e+06
38,3.98166e+06
40,4.11597e+06
42,3.80606e+06
44,4.08217e+06
46,4.03416e+06
48,3.91267e+06
50,3.27804e+06
52,3.83622e+06
54,3.59001e+06
56,3.88729e+06
58,4.06922e+06
60,3.56833e+06
62,2.49376e+06
64,3.49662e+06
66,3.59202e+06
68,4.13782e+06
70,5.40292e+06
72,3.56074e+06
74,3.8927e+06
76,3.92353e+06
78,3.31736e+06
80,4.01674e+06
82,3.88174e+06
84,3.78721e+06
86,3.80388e+06
88,4.00427e+06
90,3.42434e+06
92,4.08397e+06
94,3.36158e+06
96,3.72944e+06
98,3.71667e+06
100,3.64619e+06
102,4.00647e+06
104,3.64453e+06
106,3.72006e+06
108,3.80694e+06
110,3.89908e+06
112,4.04269e+06
114,3.36753e+06
116,4.28477e+06
118,3.0246e+06
120,4.07466e+06
122,1.58899e+06
124,3.8332e+06
126,3.76645e+06
128,3.63743e+06
130,3.37416e+06
132,3.53289e+06
134,3.77063e+06
136,3.45708e+06
138,2.88629e+06
140,3.75612e+06
142,4.21786e+06
144,4.35521e+06
146,3.91275e+06
148,3.78077e+06
150,3.73249e+06
152,3.67784e+06
154,3.96794e+06
156,3.50078e+06
158,3.99885e+06
160,3.49063e+06
162,3.62239e+06
164,3.71042e+06
166,4.02709e+06
168,3.55071e+06
170,4.25027e+06
172,3.74319e+06
174,3.6579e+06
176,2.03606e+06
178,3.89501e+06
180,3.15493e+06
182,3.81622e+06
184,3.79382e+06
186,3.22168e+06
188,3.6534e+06
190,3.58846e+06
192,3.71974e+06
194,3.40745e+06
196,3.61618e+06
198,3.90554e+06
200,3.79073e+06
202,3.9773e+06
204,3.45307e+06
206,3.89898e+06
208,3.76867e+06
210,3.94649e+06
212,3.99955e+06
214,3.73335e+06
216,3.65236e+06
218,3.6695e+06
220,3.81841e+06
