Test,Tx Power,Distance,Scenarios,RSSI (dbm),Throughput (KB/S),Throughput (Kbps),Current (A),Power (W)
1,N6,35,Lobby,-79,0.70,5.60,0.107,0.34167
2,N12,20,Crowded,-100,0.72,5.76,0.095,0.34905
3,P3,10,Workshop,-63,4.30,34.39,0.121,0.41475
4,N6,15,Wall,-93,1.37,10.93,0.098,0.34799
5,N9,25,Crowded,-96,1.14,9.15,0.102,0.33861
6,N12,10,Workshop,-55,11.32,90.54,0.102,0.35650
7,N3,5,Workshop,-74,4.28,34.21,0.119,0.34769
8,P3,30,Crowded,-98,0.70,5.60,0.119,0.40068
9,N12,25,Crowded,-100,0.70,5.60,0.104,0.33429
10,P3,0,Lobby,-47,12.26,98.09,0.119,0.40766
11,N9,5,Lobby,-57,7.87,62.96,0.103,0.34077
12,P6,5,Lobby,-63,4.95,39.64,0.120,0.41941
13,N0,25,Lobby,-79,4.09,32.76,0.114,0.37793
14,P6,10,Workshop,-72,5.84,46.75,0.129,0.40624
15,N6,35,Lobby,-100,0.99,7.91,0.106,0.34756
16,N6,5,Crowded,-63,6.15,49.24,0.108,0.34942
17,N6,20,Lobby,-77,2.22,17.77,0.104,0.33983
18,N9,20,Workshop,-72,6.00,47.97,0.098,0.33146
19,N0,10,Lobby,-76,3.76,30.05,0.112,0.37520
20,N12,0,Workshop,-61,7.01,56.12,0.108,0.34475
21,N12,30,Lobby,-79,6.99,55.91,0.106,0.32935
22,P6,0,Lobby,-43,12.75,102.01,0.122,0.40700
23,N3,40,Wall,-98,0.70,5.60,0.109,0.37137
24,N12,40,Wall,-100,0.70,5.60,0.106,0.34797
25,N12,10,Lobby,-63,8.47,67.77,0.104,0.35382
26,P6,10,Wall,-77,2.79,22.31,0.126,0.42679
27,N9,55,Lobby,-100,0.70,5.60,0.099,0.33304
28,P6,25,Workshop,-62,8.59,68.68,0.123,0.39838
29,N0,30,Workshop,-96,1.15,9.21,0.113,0.37075
30,N6,0,Workshop,-61,5.98,47.84,0.106,0.35130
31,P6,55,Workshop,-84,2.61,20.92,0.120,0.40567
32,N0,40,Wall,-100,0.70,5.60,0.110,0.36803
33,N6,35,Lobby,-84,1.99,15.92,0.102,0.34542
34,N9,60,Crowded,-91,0.90,7.24,0.103,0.33910
35,N9,45,Workshop,-100,1.01,8.06,0.103,0.34620
36,N0,50,Lobby,-92,0.70,5.60,0.112,0.37313
37,N0,25,Workshop,-60,3.63,29.04,0.115,0.38444
38,N6,10,Lobby,-73,3.11,24.86,0.105,0.33831
39,N9,25,Crowded,-100,1.05,8.38,0.104,0.33253
40,N6,25,Wall,-100,0.70,5.60,0.101,0.33986
41,N6,5,Lobby,-73,7.33,58.66,0.109,0.34963
42,P3,45,Wall,-100,1.32,10.52,0.118,0.40650
43,N0,10,Wall,-94,0.70,5.60,0.108,0.38118
